HospitalID,IndicatorID,Date,HospitalValue,BoardValue
49,12,31 May 2021,0,0
49,13,31 May 2021,0,0
49,14,31 May 2021,0.332,0.225
49,15,01 Oct 2018,0.866,0.823
49,16,01 Oct 2018,-0.303,-0.335
49,25,29 Apr 2021,NA,13
49,26,29 Apr 2021,NA,7
49,27,01 Apr 2021,NA,442
49,28,01 Apr 2021,0.027,0.027
49,29,01 Apr 2021,0,0
49,30,31 Mar 2021,NA,27.5
49,31,31 Mar 2021,NA,147
49,32,31 Mar 2021,NA,57
49,33,31 Mar 2021,NA,212.6
49,34,01 Mar 2021,NA,0.817
49,39,01 Dec 2020,71.742,71.742
49,18,31 Mar 2021,NA,47
49,19,31 Mar 2021,NA,147
49,35,31 Mar 2021,NA,0.825
49,36,31 Mar 2021,NA,835
49,37,31 Mar 2021,NA,15.1
49,38,31 Mar 2021,NA,366.9
